coverage_dimension,endpoint_id,explicit_untested_subtest_count,has_explicit_scope_exclusions,observed_attempt_count,planned_cell_or_epoch_count,status
input_context,glm-5.2,0,False,54,54,completed
output_length,glm-5.2,0,False,33,39,inconclusive
parameter_validation,glm-5.2,0,False,46,46,inconclusive
parameter_interactions,glm-5.2,0,False,53,133,inconclusive
aimd_short_short,glm-5.2,0,False,226,18,completed
aimd_long_short,glm-5.2,0,False,97,25,completed
aimd_short_long,glm-5.2,0,False,86,21,completed
aimd_mixed,glm-5.2,0,False,38,21,completed
post_overload_recovery,glm-5.2,1,True,36,9,completed
quality_low_load,glm-5.2,0,False,33,12,completed
quality_near_saturation,glm-5.2,0,False,203,28,completed
tool_calling,glm-5.2,1,True,74,78,inconclusive
structured_output,glm-5.2,0,False,16,30,inconclusive
vision,glm-5.2,0,False,1,1,unsupported
capability_smoke,kimi-k3,0,False,1,1,completed
low_load_baseline,kimi-k3,0,False,42,27,inconclusive
input_context,kimi-k3,0,False,51,51,completed
output_length,kimi-k3,0,False,33,39,inconclusive
parameter_validation,kimi-k3,0,False,31,31,inconclusive
parameter_interactions,kimi-k3,0,False,53,65,inconclusive
aimd_short_short,kimi-k3,0,False,291,21,completed
aimd_long_short,kimi-k3,0,False,163,23,completed
aimd_short_long,kimi-k3,0,False,91,20,completed
aimd_mixed,kimi-k3,0,False,106,21,completed
post_overload_recovery,kimi-k3,1,True,120,8,completed
quality_low_load,kimi-k3,0,False,37,14,completed
quality_near_saturation,kimi-k3,0,False,309,30,completed
tool_calling,kimi-k3,1,True,28,28,completed
structured_output,kimi-k3,0,False,10,10,completed
vision,kimi-k3,0,False,22,24,inconclusive
capability_smoke,minimax-m2.5,0,False,1,1,completed
low_load_baseline,minimax-m2.5,0,False,68,33,inconclusive
input_context,minimax-m2.5,0,False,51,51,completed
output_length,minimax-m2.5,0,False,33,39,inconclusive
parameter_validation,minimax-m2.5,0,False,34,34,inconclusive
parameter_interactions,minimax-m2.5,0,False,53,75,inconclusive
aimd_short_short,minimax-m2.5,0,False,2046,25,completed
aimd_long_short,minimax-m2.5,0,False,120,24,completed
aimd_short_long,minimax-m2.5,0,False,94,21,completed
aimd_mixed,minimax-m2.5,0,False,123,22,completed
post_overload_recovery,minimax-m2.5,1,True,542,19,completed
quality_low_load,minimax-m2.5,0,False,54,20,completed
quality_near_saturation,minimax-m2.5,0,False,767,36,completed
tool_calling,minimax-m2.5,1,True,31,31,inconclusive
structured_output,minimax-m2.5,0,False,10,12,inconclusive
vision,minimax-m2.5,0,False,1,1,unsupported
capability_smoke,mimo-v2.5-pro,0,False,1,1,completed
low_load_baseline,mimo-v2.5-pro,0,False,46,27,inconclusive
input_context,mimo-v2.5-pro,0,False,51,51,completed
output_length,mimo-v2.5-pro,0,False,33,41,inconclusive
parameter_validation,mimo-v2.5-pro,0,False,27,27,inconclusive
parameter_interactions,mimo-v2.5-pro,0,False,56,66,inconclusive
aimd_short_short,mimo-v2.5-pro,0,False,1226,22,completed
aimd_long_short,mimo-v2.5-pro,0,False,123,23,completed
aimd_short_long,mimo-v2.5-pro,0,False,47,20,completed
aimd_mixed,mimo-v2.5-pro,0,False,30,19,completed
post_overload_recovery,mimo-v2.5-pro,1,True,87,11,completed
quality_low_load,mimo-v2.5-pro,0,False,33,14,completed
quality_near_saturation,mimo-v2.5-pro,0,False,461,30,completed
tool_calling,mimo-v2.5-pro,1,True,51,53,inconclusive
structured_output,mimo-v2.5-pro,0,False,12,12,completed
vision,mimo-v2.5-pro,0,False,1,1,unsupported
capability_smoke,nemotron-3-ultra-550b,0,False,1,1,completed
low_load_baseline,nemotron-3-ultra-550b,0,False,46,27,inconclusive
input_context,nemotron-3-ultra-550b,0,False,51,51,inconclusive
output_length,nemotron-3-ultra-550b,0,False,33,41,inconclusive
parameter_validation,nemotron-3-ultra-550b,0,False,27,27,inconclusive
parameter_interactions,nemotron-3-ultra-550b,0,False,55,61,inconclusive
aimd_short_short,nemotron-3-ultra-550b,0,False,226,18,completed
aimd_long_short,nemotron-3-ultra-550b,0,False,89,24,completed
aimd_short_long,nemotron-3-ultra-550b,0,False,31,20,completed
aimd_mixed,nemotron-3-ultra-550b,0,False,53,20,completed
post_overload_recovery,nemotron-3-ultra-550b,1,True,56,10,completed
quality_low_load,nemotron-3-ultra-550b,0,False,41,14,completed
quality_near_saturation,nemotron-3-ultra-550b,0,False,190,30,completed
tool_calling,nemotron-3-ultra-550b,1,True,28,28,completed
structured_output,nemotron-3-ultra-550b,0,False,10,10,completed
vision,nemotron-3-ultra-550b,0,False,1,1,unsupported
capability_smoke,nvidia-nemotron-3-super-120b,0,False,1,1,completed
low_load_baseline,nvidia-nemotron-3-super-120b,0,False,35,37,inconclusive
input_context,nvidia-nemotron-3-super-120b,0,False,52,79,inconclusive
output_length,nvidia-nemotron-3-super-120b,0,False,33,55,inconclusive
parameter_validation,nvidia-nemotron-3-super-120b,0,False,33,33,inconclusive
parameter_interactions,nvidia-nemotron-3-super-120b,0,False,54,82,inconclusive
aimd_short_short,nvidia-nemotron-3-super-120b,0,False,266,21,completed
aimd_long_short,nvidia-nemotron-3-super-120b,0,False,58,21,completed
aimd_short_long,nvidia-nemotron-3-super-120b,0,False,22,19,completed
aimd_mixed,nvidia-nemotron-3-super-120b,0,False,58,20,completed
post_overload_recovery,nvidia-nemotron-3-super-120b,1,True,24,9,inconclusive
quality_low_load,nvidia-nemotron-3-super-120b,0,False,24,12,inconclusive
quality_near_saturation,nvidia-nemotron-3-super-120b,0,False,119,28,inconclusive
tool_calling,nvidia-nemotron-3-super-120b,1,True,42,63,inconclusive
structured_output,nvidia-nemotron-3-super-120b,0,False,11,16,inconclusive
vision,nvidia-nemotron-3-super-120b,0,False,1,1,unsupported
capability_smoke,openai-gpt-oss-120b,0,False,1,1,completed
low_load_baseline,openai-gpt-oss-120b,0,False,54,29,inconclusive
input_context,openai-gpt-oss-120b,0,False,51,51,inconclusive
output_length,openai-gpt-oss-120b,0,False,33,39,inconclusive
parameter_validation,openai-gpt-oss-120b,0,False,26,26,inconclusive
parameter_interactions,openai-gpt-oss-120b,0,False,57,67,inconclusive
aimd_short_short,openai-gpt-oss-120b,0,False,2126,24,completed
aimd_long_short,openai-gpt-oss-120b,0,False,159,23,completed
aimd_short_long,openai-gpt-oss-120b,0,False,72,22,completed
aimd_mixed,openai-gpt-oss-120b,0,False,90,22,completed
post_overload_recovery,openai-gpt-oss-120b,1,True,761,13,completed
quality_low_load,openai-gpt-oss-120b,0,False,49,16,completed
quality_near_saturation,openai-gpt-oss-120b,0,False,993,32,completed
tool_calling,openai-gpt-oss-120b,1,True,28,28,completed
structured_output,openai-gpt-oss-120b,0,False,11,13,completed
vision,openai-gpt-oss-120b,0,False,1,1,unsupported
capability_smoke,qwen3.5-397b-a17b,0,False,1,1,completed
low_load_baseline,qwen3.5-397b-a17b,0,False,28,37,inconclusive
input_context,qwen3.5-397b-a17b,0,False,35,82,inconclusive
output_length,qwen3.5-397b-a17b,0,False,18,57,inconclusive
parameter_validation,qwen3.5-397b-a17b,0,False,35,35,inconclusive
parameter_interactions,qwen3.5-397b-a17b,0,False,53,81,inconclusive
aimd_short_short,qwen3.5-397b-a17b,0,False,1041,22,completed
aimd_long_short,qwen3.5-397b-a17b,0,False,58,21,completed
aimd_short_long,qwen3.5-397b-a17b,0,False,22,19,completed
aimd_mixed,qwen3.5-397b-a17b,0,False,42,20,completed
post_overload_recovery,qwen3.5-397b-a17b,1,True,293,8,inconclusive
quality_low_load,qwen3.5-397b-a17b,0,False,28,12,inconclusive
quality_near_saturation,qwen3.5-397b-a17b,0,False,372,28,inconclusive
tool_calling,qwen3.5-397b-a17b,1,True,27,63,inconclusive
structured_output,qwen3.5-397b-a17b,0,False,9,16,inconclusive
vision,qwen3.5-397b-a17b,0,False,1,1,completed
capability_smoke,qwen3.8-max,0,False,1,1,completed
low_load_baseline,qwen3.8-max,0,False,38,25,inconclusive
input_context,qwen3.8-max,0,False,55,55,completed
output_length,qwen3.8-max,0,False,33,39,inconclusive
parameter_validation,qwen3.8-max,0,False,26,26,inconclusive
parameter_interactions,qwen3.8-max,0,False,56,64,inconclusive
aimd_short_short,qwen3.8-max,0,False,641,22,completed
aimd_long_short,qwen3.8-max,0,False,94,22,completed
aimd_short_long,qwen3.8-max,0,False,58,22,completed
aimd_mixed,qwen3.8-max,0,False,58,21,completed
post_overload_recovery,qwen3.8-max,1,True,51,10,completed
quality_low_load,qwen3.8-max,0,False,33,12,completed
quality_near_saturation,qwen3.8-max,0,False,296,28,completed
tool_calling,qwen3.8-max,1,True,53,59,inconclusive
structured_output,qwen3.8-max,0,False,12,12,completed
vision,qwen3.8-max,0,False,19,21,inconclusive
