accepted_rate_rps,all_blocks_healthy,block_censor_reasons_json,block_eligible_json,block_healthy_json,capacity_bound_state,censor_reason,completed_blocks,confirmation_all_healthy,confirmation_censor_reasons_json,confirmation_complete,confirmation_eligible_json,confirmation_execution_complete,confirmation_healthy_json,confirmation_stage,confirmation_stage_history_json,confirmations_required,controller_completion_state,coverage_state_counts_json,execution_complete,healthy_lower_bound_rps,highest_observed_healthy_rps,nonmonotonic_overload_observed,overload_observed,planned_blocks,rate_stage,rate_stage_history_json,recovery_censor_reason,recovery_eligible,recovery_healthy,recovery_run,requested_rate_rps,route_id,scientifically_complete,shape,suite,tested_rate_rps,unhealthy_upper_bound_rps
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,glm-5.2,,short_long,aimd,,
,,[],[],[],left_censored_no_healthy_at_lowest_tested_rate,,,False,[],True,[],True,[],,[],0,completed_no_healthy_at_lowest_tested_rate,"{""completed"":3,""not_applicable"":20}",,,,False,True,,,[],,,,False,,glm-5.2,,short_short,aimd,,0.25
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,kimi-k3,,long_short,aimd,,
,,[],[],[],left_censored_no_healthy_at_lowest_tested_rate,,,False,[],True,[],True,[],,[],0,completed_no_healthy_at_lowest_tested_rate,"{""completed"":3,""not_applicable"":20}",,,,False,True,,,[],,,,False,,kimi-k3,,mixed,aimd,,0.25
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,kimi-k3,,short_long,aimd,,
,,[],[],[],left_censored_no_healthy_at_lowest_tested_rate,,,False,[],True,[],True,[],,[],0,completed_no_healthy_at_lowest_tested_rate,"{""completed"":3,""not_applicable"":20}",,,,False,True,,,[],,,,False,,kimi-k3,,short_short,aimd,,0.25
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,mimo-v2.5-pro,,long_short,aimd,,
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,mimo-v2.5-pro,,mixed,aimd,,
,,[],[],[],right_censored_highest_tested_confirmed_healthy_no_overload,,,True,"[null,null,null]",True,"[true,true,true]",True,"[true,true,true]",0,"[{""execution_complete"":true,""healthy"":true,""rate_rps"":1.0,""scientifically_complete"":true,""stage"":0}]",3,completed_confirmations_healthy,"{""completed"":14,""inconclusive"":1,""not_applicable"":8}",,1.0,1.0,False,False,,,[],,,,False,,mimo-v2.5-pro,,short_long,aimd,,
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,mimo-v2.5-pro,,short_short,aimd,,
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,minimax-m2.5,,long_short,aimd,,
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,minimax-m2.5,,mixed,aimd,,
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,minimax-m2.5,,short_long,aimd,,
,,[],[],[],left_censored_no_healthy_at_lowest_tested_rate,,,False,[],True,[],True,[],,[],0,completed_no_healthy_at_lowest_tested_rate,"{""completed"":3,""not_applicable"":20}",,,,False,True,,,[],,,,False,,minimax-m2.5,,short_short,aimd,,0.25
,,[],[],[],left_censored_no_healthy_at_lowest_tested_rate,,,False,[],True,[],True,[],,[],0,completed_no_healthy_at_lowest_tested_rate,"{""completed"":3,""not_applicable"":20}",,,,False,True,,,[],,,,False,,nemotron-3-ultra-550b,,long_short,aimd,,0.25
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,nemotron-3-ultra-550b,,mixed,aimd,,
,,[],[],[],right_censored_highest_tested_confirmed_healthy_no_overload,,,True,"[null,null,null]",True,"[true,true,true]",True,"[true,true,true]",0,"[{""execution_complete"":true,""healthy"":true,""rate_rps"":1.0,""scientifically_complete"":true,""stage"":0}]",3,completed_confirmations_healthy,"{""completed"":13,""inconclusive"":2,""not_applicable"":8}",,1.0,1.0,False,False,,,[],,,,False,,nemotron-3-ultra-550b,,short_long,aimd,,
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,nemotron-3-ultra-550b,,short_short,aimd,,
,,[],[],[],left_censored_no_healthy_at_lowest_tested_rate,,,False,[],True,[],True,[],,[],0,completed_no_healthy_at_lowest_tested_rate,"{""completed"":3,""not_applicable"":20}",,,,False,True,,,[],,,,False,,nvidia-nemotron-3-super-120b,,long_short,aimd,,0.25
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,nvidia-nemotron-3-super-120b,,mixed,aimd,,
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,nvidia-nemotron-3-super-120b,,short_long,aimd,,
,,[],[],[],left_censored_no_healthy_at_lowest_tested_rate,,,False,[],True,[],True,[],,[],0,completed_no_healthy_at_lowest_tested_rate,"{""completed"":3,""not_applicable"":20}",,,,False,True,,,[],,,,False,,nvidia-nemotron-3-super-120b,,short_short,aimd,,0.25
,,[],[],[],left_censored_no_healthy_at_lowest_tested_rate,,,False,[],True,[],True,[],,[],0,completed_no_healthy_at_lowest_tested_rate,"{""completed"":3,""not_applicable"":20}",,,,False,True,,,[],,,,False,,openai-gpt-oss-120b,,long_short,aimd,,0.25
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,openai-gpt-oss-120b,,mixed,aimd,,
,,[],[],[],confirmation_attempts_inconclusive,time_guard,,,[null],False,[true],False,[true],0,"[{""execution_complete"":false,""healthy"":null,""rate_rps"":1.0,""scientifically_complete"":false,""stage"":0}]",3,campaign_guard_censored,"{""completed"":11,""not_applicable"":8,""time_censored"":4}",,,1.0,False,False,,,[],,,,False,,openai-gpt-oss-120b,,short_long,aimd,,
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,openai-gpt-oss-120b,,short_short,aimd,,
,,[],[],[],left_censored_no_healthy_at_lowest_tested_rate,,,False,[],True,[],True,[],,[],0,completed_no_healthy_at_lowest_tested_rate,"{""completed"":3,""not_applicable"":20}",,,,False,True,,,[],,,,False,,qwen3.5-397b-a17b,,long_short,aimd,,0.25
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,qwen3.5-397b-a17b,,mixed,aimd,,
,,[],[],[],left_censored_no_healthy_at_lowest_tested_rate,,,False,[],True,[],True,[],,[],0,completed_no_healthy_at_lowest_tested_rate,"{""completed"":3,""not_applicable"":20}",,,,False,True,,,[],,,,False,,qwen3.5-397b-a17b,,short_long,aimd,,0.25
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,qwen3.5-397b-a17b,,short_short,aimd,,
,,[],[],[],right_censored_highest_tested_confirmed_healthy_no_overload,,,True,"[null,null,null]",True,"[true,true,true]",True,"[true,true,true]",0,"[{""execution_complete"":true,""healthy"":true,""rate_rps"":0.5,""scientifically_complete"":true,""stage"":0}]",3,completed_confirmations_healthy,"{""completed"":15,""not_applicable"":8}",,0.5,0.5,False,False,,,[],,,,False,,qwen3.8-max,,long_short,aimd,,
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,qwen3.8-max,,mixed,aimd,,
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,qwen3.8-max,,short_long,aimd,,
,,[],[],[],,time_guard,,,[],,[],,[],,[],3,campaign_censored_before_start,"{""time_censored"":23}",,,,,,,,[],,,,,,qwen3.8-max,,short_short,aimd,,
