capability_dimension,documented_unavailable_count,endpoint_id,functional_pass_count,functional_pass_rate_ci95,functional_scored_count,functional_status,malformed_validation_2xx_count,malformed_validation_4xx_count,malformed_validation_attempt_count,malformed_validation_status,sampling_unit,transport_status,valid_probe_2xx_count,valid_probe_2xx_rate_ci95,valid_probe_attempt_count,workload
capability_smoke,0,deepseek-v4-flash-0731,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,passed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,capability_smoke
max_completion_tokens,0,deepseek-v4-flash-0731,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,passed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,output_length
max_tokens,0,deepseek-v4-flash-0731,1,"{""ci95_high"":0.9054687942657693,""ci95_low"":0.09453120573423074,""estimate"":0.5,""n"":2}",2,degraded,0,1,1,correct_rejection_observed,request_id,observed_supported,2,"{""ci95_high"":0.9385080552796037,""ci95_low"":0.2076596008020477,""estimate"":0.6666666666666666,""n"":3}",3,output_length
pairwise_core,0,deepseek-v4-flash-0731,20,"{""ci95_high"":0.7531689256552291,""ci95_low"":0.43683440819940234,""estimate"":0.6060606060606061,""n"":33}",33,degraded,0,0,0,not_tested,request_id,observed_supported,33,"{""ci95_high"":1.0,""ci95_low"":0.895730002457548,""estimate"":1.0,""n"":33}",33,parameter_interactions
parameter_interaction_extended,0,deepseek-v4-flash-0731,0,"{""ci95_high"":0.3903342879021653,""ci95_low"":2.7755575615628914e-17,""estimate"":0.0,""n"":6}",6,failed,0,0,0,not_tested,request_id,observed_supported,6,"{""ci95_high"":0.9743203756552565,""ci95_low"":0.4868721707256811,""estimate"":0.8571428571428571,""n"":7}",7,parameter_interactions
parameter_interaction_penalties,0,deepseek-v4-flash-0731,3,"{""ci95_high"":1.0,""ci95_low"":0.4385029682449546,""estimate"":1.0,""n"":3}",3,passed,0,0,0,not_tested,request_id,observed_supported,3,"{""ci95_high"":0.7495416354723428,""ci95_low"":0.15821985525146975,""estimate"":0.42857142857142855,""n"":7}",7,parameter_interactions
parameter_interaction_temperature_top_p_output,0,deepseek-v4-flash-0731,6,"{""ci95_high"":1.0,""ci95_low"":0.6096657120978346,""estimate"":1.0,""n"":6}",6,passed,0,0,0,not_tested,request_id,observed_supported,6,"{""ci95_high"":1.0,""ci95_low"":0.6096657120978346,""estimate"":1.0,""n"":6}",6,parameter_interactions
caching_option,1,deepseek-v4-flash-0731,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,documented_unavailable,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,parameter_validation
seed,0,deepseek-v4-flash-0731,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,passed,0,0,0,not_tested,request_id,observed_supported,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,parameter_validation
stop,0,deepseek-v4-flash-0731,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,passed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,parameter_validation
temperature,0,deepseek-v4-flash-0731,7,"{""ci95_high"":1.0,""ci95_low"":0.6456695649333126,""estimate"":1.0,""n"":7}",7,passed,0,0,0,not_tested,request_id,observed_supported,7,"{""ci95_high"":1.0,""ci95_low"":0.6456695649333126,""estimate"":1.0,""n"":7}",7,parameter_validation
top_logprobs,0,deepseek-v4-flash-0731,5,"{""ci95_high"":1.0,""ci95_low"":0.5655175352168251,""estimate"":1.0,""n"":5}",5,passed,0,0,0,not_tested,request_id,observed_supported,5,"{""ci95_high"":0.9177810759959433,""ci95_low"":0.35893445183261935,""estimate"":0.7142857142857143,""n"":7}",7,parameter_validation
top_p,0,deepseek-v4-flash-0731,7,"{""ci95_high"":1.0,""ci95_low"":0.6456695649333126,""estimate"":1.0,""n"":7}",7,passed,0,0,0,not_tested,request_id,observed_supported,7,"{""ci95_high"":1.0,""ci95_low"":0.6456695649333126,""estimate"":1.0,""n"":7}",7,parameter_validation
pairwise_core,0,deepseek-v4-flash-0731,3,"{""ci95_high"":0.7495416354723428,""ci95_low"":0.15821985525146975,""estimate"":0.42857142857142855,""n"":7}",7,degraded,0,0,0,not_tested,request_id,observed_supported,7,"{""ci95_high"":1.0,""ci95_low"":0.6456695649333126,""estimate"":1.0,""n"":7}",7,structured_output
parallel_tool_calls,0,deepseek-v4-flash-0731,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,passed,0,0,0,not_tested,request_id,observed_supported,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,tool_calling
tools,0,deepseek-v4-flash-0731,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,passed,0,0,0,not_tested,request_id,observed_supported,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,tool_calling
vision,0,deepseek-v4-flash-0731,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,observed_transport_degraded,0,"{""ci95_high"":0.7934506856227626,""ci95_low"":0.0,""estimate"":0.0,""n"":1}",1,vision
capability_smoke,0,gemma-4-31B-it,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,passed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,capability_smoke
max_completion_tokens,0,gemma-4-31B-it,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,passed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,output_length
max_tokens,0,gemma-4-31B-it,2,"{""ci95_high"":0.9385080552796037,""ci95_low"":0.2076596008020477,""estimate"":0.6666666666666666,""n"":3}",3,degraded,1,0,1,invalid_input_accepted,request_id,observed_supported,3,"{""ci95_high"":1.0,""ci95_low"":0.4385029682449546,""estimate"":1.0,""n"":3}",3,output_length
pairwise_core,0,gemma-4-31B-it,15,"{""ci95_high"":0.7046843001720462,""ci95_low"":0.358126892344679,""estimate"":0.5357142857142857,""n"":28}",28,degraded,0,0,0,not_tested,request_id,observed_supported,28,"{""ci95_high"":0.9334954271839244,""ci95_low"":0.6908012411955788,""estimate"":0.8484848484848485,""n"":33}",33,parameter_interactions
parameter_interaction_extended,0,gemma-4-31B-it,0,"{""ci95_high"":0.43448246478317476,""ci95_low"":0.0,""estimate"":0.0,""n"":5}",5,failed,0,0,0,not_tested,request_id,observed_supported,5,"{""ci95_high"":0.9177810759959433,""ci95_low"":0.35893445183261935,""estimate"":0.7142857142857143,""n"":7}",7,parameter_interactions
parameter_interaction_penalties,0,gemma-4-31B-it,3,"{""ci95_high"":1.0,""ci95_low"":0.4385029682449546,""estimate"":1.0,""n"":3}",3,passed,0,0,0,not_tested,request_id,observed_supported,3,"{""ci95_high"":0.7495416354723428,""ci95_low"":0.15821985525146975,""estimate"":0.42857142857142855,""n"":7}",7,parameter_interactions
parameter_interaction_temperature_top_p_output,0,gemma-4-31B-it,6,"{""ci95_high"":1.0,""ci95_low"":0.6096657120978346,""estimate"":1.0,""n"":6}",6,passed,0,0,0,not_tested,request_id,observed_supported,6,"{""ci95_high"":1.0,""ci95_low"":0.6096657120978346,""estimate"":1.0,""n"":6}",6,parameter_interactions
caching_option,1,gemma-4-31B-it,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,documented_unavailable,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,parameter_validation
seed,0,gemma-4-31B-it,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,passed,0,0,0,not_tested,request_id,observed_supported,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,parameter_validation
stop,0,gemma-4-31B-it,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,passed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,parameter_validation
temperature,0,gemma-4-31B-it,7,"{""ci95_high"":1.0,""ci95_low"":0.6456695649333126,""estimate"":1.0,""n"":7}",7,passed,0,0,0,not_tested,request_id,observed_supported,7,"{""ci95_high"":1.0,""ci95_low"":0.6456695649333126,""estimate"":1.0,""n"":7}",7,parameter_validation
top_logprobs,0,gemma-4-31B-it,5,"{""ci95_high"":1.0,""ci95_low"":0.5655175352168251,""estimate"":1.0,""n"":5}",5,passed,0,0,0,not_tested,request_id,observed_supported,5,"{""ci95_high"":0.9177810759959433,""ci95_low"":0.35893445183261935,""estimate"":0.7142857142857143,""n"":7}",7,parameter_validation
top_p,0,gemma-4-31B-it,7,"{""ci95_high"":1.0,""ci95_low"":0.6456695649333126,""estimate"":1.0,""n"":7}",7,passed,0,0,0,not_tested,request_id,observed_supported,7,"{""ci95_high"":1.0,""ci95_low"":0.6456695649333126,""estimate"":1.0,""n"":7}",7,parameter_validation
pairwise_core,0,gemma-4-31B-it,2,"{""ci95_high"":0.700006684861608,""ci95_low"":0.09677141110578041,""estimate"":0.3333333333333333,""n"":6}",6,degraded,0,0,0,not_tested,request_id,observed_supported,6,"{""ci95_high"":0.9743203756552565,""ci95_low"":0.4868721707256811,""estimate"":0.8571428571428571,""n"":7}",7,structured_output
parallel_tool_calls,0,gemma-4-31B-it,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,passed,0,0,0,not_tested,request_id,observed_supported,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,tool_calling
tools,0,gemma-4-31B-it,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,passed,0,0,0,not_tested,request_id,observed_supported,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,tool_calling
vision,0,gemma-4-31B-it,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,passed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,vision
capability_smoke,0,glm-5.2,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,passed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,capability_smoke
max_completion_tokens,0,glm-5.2,0,"{""ci95_high"":0.7934506856227626,""ci95_low"":0.0,""estimate"":0.0,""n"":1}",1,failed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,output_length
max_tokens,0,glm-5.2,2,"{""ci95_high"":0.9385080552796037,""ci95_low"":0.2076596008020477,""estimate"":0.6666666666666666,""n"":3}",3,degraded,1,0,1,invalid_input_accepted,request_id,observed_supported,3,"{""ci95_high"":1.0,""ci95_low"":0.4385029682449546,""estimate"":1.0,""n"":3}",3,output_length
pairwise_core,0,glm-5.2,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,observed_transport_degraded,0,"{""ci95_high"":0.10426999754245206,""ci95_low"":0.0,""estimate"":0.0,""n"":33}",33,parameter_interactions
parameter_interaction_extended,0,glm-5.2,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,observed_transport_degraded,0,"{""ci95_high"":0.35433043506668743,""ci95_low"":5.551115123125783e-17,""estimate"":0.0,""n"":7}",7,parameter_interactions
parameter_interaction_penalties,0,glm-5.2,0,"{""ci95_high"":0.5614970317550454,""ci95_low"":5.551115123125783e-17,""estimate"":0.0,""n"":3}",3,failed,0,0,0,not_tested,request_id,observed_supported,3,"{""ci95_high"":0.7495416354723428,""ci95_low"":0.15821985525146975,""estimate"":0.42857142857142855,""n"":7}",7,parameter_interactions
parameter_interaction_temperature_top_p_output,0,glm-5.2,5,"{""ci95_high"":0.9699466302516935,""ci95_low"":0.43649717781352987,""estimate"":0.8333333333333334,""n"":6}",6,degraded,0,0,0,not_tested,request_id,observed_supported,6,"{""ci95_high"":1.0,""ci95_low"":0.6096657120978346,""estimate"":1.0,""n"":6}",6,parameter_interactions
caching_option,1,glm-5.2,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,documented_unavailable,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,parameter_validation
seed,0,glm-5.2,0,"{""ci95_high"":0.6576197724933469,""ci95_low"":0.0,""estimate"":0.0,""n"":2}",2,failed,0,0,0,not_tested,request_id,observed_supported,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,parameter_validation
stop,0,glm-5.2,0,"{""ci95_high"":0.7934506856227626,""ci95_low"":0.0,""estimate"":0.0,""n"":1}",1,failed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,parameter_validation
temperature,0,glm-5.2,1,"{""ci95_high"":0.5131278292743189,""ci95_low"":0.02567962434474355,""estimate"":0.14285714285714285,""n"":7}",7,degraded,0,0,0,not_tested,request_id,observed_supported,7,"{""ci95_high"":1.0,""ci95_low"":0.6456695649333126,""estimate"":1.0,""n"":7}",7,parameter_validation
top_logprobs,0,glm-5.2,1,"{""ci95_high"":0.6244653702374747,""ci95_low"":0.03622410863243014,""estimate"":0.2,""n"":5}",5,degraded,0,0,0,not_tested,request_id,observed_supported,5,"{""ci95_high"":0.9177810759959433,""ci95_low"":0.35893445183261935,""estimate"":0.7142857142857143,""n"":7}",7,parameter_validation
top_p,0,glm-5.2,2,"{""ci95_high"":0.6410655481673808,""ci95_low"":0.08221892400405678,""estimate"":0.2857142857142857,""n"":7}",7,degraded,0,0,0,not_tested,request_id,observed_supported,7,"{""ci95_high"":1.0,""ci95_low"":0.6456695649333126,""estimate"":1.0,""n"":7}",7,parameter_validation
pairwise_core,0,glm-5.2,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,observed_transport_degraded,0,"{""ci95_high"":0.35433043506668743,""ci95_low"":5.551115123125783e-17,""estimate"":0.0,""n"":7}",7,structured_output
response_format,0,glm-5.2,0,"{""ci95_high"":0.6576197724933469,""ci95_low"":0.0,""estimate"":0.0,""n"":2}",2,failed,0,0,0,not_tested,request_id,observed_supported,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,structured_output
parallel_tool_calls,0,glm-5.2,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,passed,0,0,0,not_tested,request_id,observed_supported,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,tool_calling
tool_argument_bytes,0,glm-5.2,0,"{""ci95_high"":0.6576197724933469,""ci95_low"":0.0,""estimate"":0.0,""n"":2}",2,failed,0,0,0,not_tested,request_id,observed_supported,2,"{""ci95_high"":0.8499610108478506,""ci95_low"":0.15003898915214947,""estimate"":0.5,""n"":4}",4,tool_calling
tool_count,0,glm-5.2,4,"{""ci95_high"":1.0,""ci95_low"":0.5101091635454027,""estimate"":1.0,""n"":4}",4,passed,0,0,0,not_tested,request_id,observed_supported,4,"{""ci95_high"":1.0,""ci95_low"":0.5101091635454027,""estimate"":1.0,""n"":4}",4,tool_calling
tool_malformed_schema,0,glm-5.2,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,3,0,3,invalid_input_accepted,request_id,inconclusive,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,tool_calling
tool_nesting_depth,0,glm-5.2,4,"{""ci95_high"":1.0,""ci95_low"":0.5101091635454027,""estimate"":1.0,""n"":4}",4,passed,0,0,0,not_tested,request_id,observed_supported,4,"{""ci95_high"":1.0,""ci95_low"":0.5101091635454027,""estimate"":1.0,""n"":4}",4,tool_calling
tool_required_optional,0,glm-5.2,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,passed,0,0,0,not_tested,request_id,observed_supported,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,tool_calling
tool_schema_bytes,0,glm-5.2,5,"{""ci95_high"":1.0,""ci95_low"":0.5655175352168251,""estimate"":1.0,""n"":5}",5,passed,0,0,0,not_tested,request_id,observed_supported,5,"{""ci95_high"":1.0,""ci95_low"":0.5655175352168251,""estimate"":1.0,""n"":5}",5,tool_calling
tools,0,glm-5.2,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,passed,0,0,0,not_tested,request_id,observed_supported,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,tool_calling
vision,0,glm-5.2,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,observed_transport_degraded,0,"{""ci95_high"":0.7934506856227626,""ci95_low"":0.0,""estimate"":0.0,""n"":1}",1,vision
capability_smoke,0,kimi-k3,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,passed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,capability_smoke
max_completion_tokens,0,kimi-k3,0,"{""ci95_high"":0.7934506856227626,""ci95_low"":0.0,""estimate"":0.0,""n"":1}",1,failed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,output_length
max_tokens,0,kimi-k3,2,"{""ci95_high"":0.9385080552796037,""ci95_low"":0.2076596008020477,""estimate"":0.6666666666666666,""n"":3}",3,degraded,1,0,1,invalid_input_accepted,request_id,observed_supported,3,"{""ci95_high"":1.0,""ci95_low"":0.4385029682449546,""estimate"":1.0,""n"":3}",3,output_length
pairwise_core,0,kimi-k3,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,observed_transport_degraded,0,"{""ci95_high"":0.10426999754245206,""ci95_low"":0.0,""estimate"":0.0,""n"":33}",33,parameter_interactions
parameter_interaction_extended,0,kimi-k3,0,"{""ci95_high"":0.7934506856227626,""ci95_low"":0.0,""estimate"":0.0,""n"":1}",1,failed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":0.5131278292743189,""ci95_low"":0.02567962434474355,""estimate"":0.14285714285714285,""n"":7}",7,parameter_interactions
parameter_interaction_penalties,0,kimi-k3,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,observed_transport_degraded,0,"{""ci95_high"":0.35433043506668743,""ci95_low"":5.551115123125783e-17,""estimate"":0.0,""n"":7}",7,parameter_interactions
parameter_interaction_temperature_top_p_output,0,kimi-k3,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,observed_transport_degraded,0,"{""ci95_high"":0.3903342879021653,""ci95_low"":2.7755575615628914e-17,""estimate"":0.0,""n"":6}",6,parameter_interactions
caching_option,1,kimi-k3,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,not_scored,0,0,0,not_tested,request_id,documented_unavailable,0,"{""ci95_high"":null,""ci95_low"":null,""estimate"":null,""n"":0}",0,parameter_validation
seed,0,kimi-k3,1,"{""ci95_high"":0.9054687942657693,""ci95_low"":0.09453120573423074,""estimate"":0.5,""n"":2}",2,degraded,0,0,0,not_tested,request_id,observed_supported,2,"{""ci95_high"":1.0,""ci95_low"":0.34238022750665303,""estimate"":1.0,""n"":2}",2,parameter_validation
stop,0,kimi-k3,0,"{""ci95_high"":0.7934506856227626,""ci95_low"":0.0,""estimate"":0.0,""n"":1}",1,failed,0,0,0,not_tested,request_id,observed_supported,1,"{""ci95_high"":1.0,""ci95_low"":0.20654931437723745,""estimate"":1.0,""n"":1}",1,parameter_validation
temperature,0,kimi-k3,0,"{""ci95_high"":0.5614970317550454,""ci95_low"":5.551115123125783e-17,""estimate"":0.0,""n"":3}",3,failed,0,0,0,not_tested,request_id,observed_supported,3,"{""ci95_high"":0.7495416354723428,""ci95_low"":0.15821985525146975,""estimate"":0.42857142857142855,""n"":7}",7,parameter_validation
top_logprobs,0,kimi-k3,3,"{""ci95_high"":0.882379225767352,""ci95_low"":0.2307242812760128,""estimate"":0.6,""n"":5}",5,degraded,0,0,0,not_tested,request_id,observed_supported,5,"{""ci95_high"":0.9177810759959433,""ci95_low"":0.35893445183261935,""estimate"":0.7142857142857143,""n"":7}",7,parameter_validation
