analysis_block_id,analysis_block_index,cell_id,claim_scope,endpoint_id,exact_request_payload_hash_match,low_load_quality_score,low_load_success,near_load_quality_score,near_load_success,paired_quality_delta_near_minus_low,predeclared_quality_acceptance_pass,quality_acceptance_reasons,quality_pair_id,sampling_unit,schema_version,shape,source_id,source_kind,status
do-soak-block-857c881f1583d240ebf5,0,do-soak-cell-ce22be1c19c9c153e4ef,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-fcc36821d39684477a85,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-4af887b34f6db5f3aad7,1,do-soak-cell-ce22be1c19c9c153e4ef,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-bf7b0413af6ffe2e3294,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-17a8d0e92c05f0224472,2,do-soak-cell-ce22be1c19c9c153e4ef,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-2f2326faab3cf36be08f,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-b7d9b3bb4335dd567926,3,do-soak-cell-ce22be1c19c9c153e4ef,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-a894afec034282979ffb,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-2e2135a2899f2c05bf31,0,do-soak-cell-05468919c2421d27aba3,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-6ea30bbdc1004ee7d90e,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-a78ace54ab3df22f79fd,1,do-soak-cell-05468919c2421d27aba3,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-48e5df0cf902342e0d6b,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-677af04bf7973a9c247e,2,do-soak-cell-05468919c2421d27aba3,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-bd67abaea9ffd07d924f,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-6e2ab9a93e505aa2b25b,3,do-soak-cell-05468919c2421d27aba3,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-980949e59ed334e0ebd0,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-a668630a579cc9463167,0,do-soak-cell-26fc3839539dfce43abe,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-9a1e4568e78ad2d46dfe,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-d5c3a9f49498acde7040,1,do-soak-cell-26fc3839539dfce43abe,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-1bbe15b3eea544d84aa3,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-d8afc56846cd259b5956,2,do-soak-cell-26fc3839539dfce43abe,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-373d691b65e93fd08d49,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-c8f87044670fdeb631a6,3,do-soak-cell-26fc3839539dfce43abe,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-2092eee12778d06a0762,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-8f4a910b6492800d2f49,0,do-soak-cell-835dbeb2b6e9df63ca37,one deterministic low-load/near-load request pair,nemotron-3-ultra-550b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-f0cc4c54685671b0f782,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-db7e01932e55e900614f,1,do-soak-cell-835dbeb2b6e9df63ca37,one deterministic low-load/near-load request pair,nemotron-3-ultra-550b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-8515564ef3a974074b8e,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-e12e783b742673f2014f,2,do-soak-cell-835dbeb2b6e9df63ca37,one deterministic low-load/near-load request pair,nemotron-3-ultra-550b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-8bc33c5c3240da3c301d,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-ea2e1480b02e082f7829,3,do-soak-cell-835dbeb2b6e9df63ca37,one deterministic low-load/near-load request pair,nemotron-3-ultra-550b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-f8f4b64d37afa31f4fd7,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-230b154d32fb3328a8c0,0,do-soak-cell-974d3e8e3e99348fcce6,one deterministic low-load/near-load request pair,minimax-m2.5,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-9b6c2f2212fe6f85b2df,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,mixed,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-2449b1fca3f9b3432388,1,do-soak-cell-974d3e8e3e99348fcce6,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,1.0,True,1.0,False,"[""paired_low_load_quality_failure""]",do-soak-pair-516b7fa94f83b7b3a4b8,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,mixed,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-d13a403783eb560b238f,2,do-soak-cell-974d3e8e3e99348fcce6,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-52ddcdc1ee175730b17e,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,mixed,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-7910d5502ff192077419,3,do-soak-cell-974d3e8e3e99348fcce6,one deterministic low-load/near-load request pair,minimax-m2.5,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-cffda37cfe02eedcbea4,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,mixed,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-7910d5502ff192077419,3,do-soak-cell-974d3e8e3e99348fcce6,one deterministic low-load/near-load request pair,minimax-m2.5,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-ef792628df4534bb1c02,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,mixed,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-5c66de187dc30cdbc4de,0,do-soak-cell-b410338f028fc0b03d47,one deterministic low-load/near-load request pair,deepseek-v4-flash-0731,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-f3888abc1266c781b533,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-56d12846664b0ecfc47c,1,do-soak-cell-b410338f028fc0b03d47,one deterministic low-load/near-load request pair,deepseek-v4-flash-0731,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-7f6785b31dfc6c47fb8c,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-cc2097f69152d2218e14,2,do-soak-cell-b410338f028fc0b03d47,one deterministic low-load/near-load request pair,deepseek-v4-flash-0731,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-163de75d44e3b2941cff,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-f414a6d7c9f106502e02,3,do-soak-cell-b410338f028fc0b03d47,one deterministic low-load/near-load request pair,deepseek-v4-flash-0731,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-6b863b9b37d245af9ad9,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-08aa1183ba4b31bc71ee,0,do-soak-cell-3cac1f31bae8b76d1878,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-578283aef51dbda195db,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_long,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-3e10b71866274cee43d9,1,do-soak-cell-3cac1f31bae8b76d1878,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-ef52f2e30dea1363a06d,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_long,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-627c2f578ee57f49d135,2,do-soak-cell-3cac1f31bae8b76d1878,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-d1f8fecefe6c07398941,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_long,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-7ca31656d62fc63eb37b,3,do-soak-cell-3cac1f31bae8b76d1878,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-3ba018bf2ae8177ecd96,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_long,do-sixhour-completion-20260824-r1-soak-wave-0,direct_soak,complete
do-soak-block-d5637112f6483bf8ba3a,0,do-soak-cell-3bc928433fec3a6ecbcb,one deterministic low-load/near-load request pair,nemotron-3-ultra-550b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-f56ac510a65926df04fc,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-63c52a0119bd3b85564f,1,do-soak-cell-3bc928433fec3a6ecbcb,one deterministic low-load/near-load request pair,nemotron-3-ultra-550b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-b27cb1ab2f8fba0ba68d,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-61d3a09b875deef84851,2,do-soak-cell-3bc928433fec3a6ecbcb,one deterministic low-load/near-load request pair,nemotron-3-ultra-550b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-9ae0db59a79ddeb7b88e,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-f7f606ccc3e4b8984c97,3,do-soak-cell-3bc928433fec3a6ecbcb,one deterministic low-load/near-load request pair,nemotron-3-ultra-550b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-f233ba29c2b4882f9224,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-13e0d556b5fbbd7c69d0,0,do-soak-cell-57b086af1407bd1c33f0,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-88e4e391181cd5890e3c,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-5e5b33a3ed26f24ea05f,1,do-soak-cell-57b086af1407bd1c33f0,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-08f5ec47720864ac0933,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-d853acb669d2ee14415d,2,do-soak-cell-57b086af1407bd1c33f0,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-20443dde754d4e876f4d,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-ee1444ca1c61fbecf017,3,do-soak-cell-57b086af1407bd1c33f0,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-7ec385ac4cf30826561c,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,input32k_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-258a8bf66a2ed274d537,0,do-soak-cell-ea1ee1a289d6d9345296,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-56454da1713656eaf752,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-4380662ac833801028ce,1,do-soak-cell-ea1ee1a289d6d9345296,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,0.0,True,1.0,True,1.0,False,"[""paired_low_load_quality_failure""]",do-soak-pair-e92196d6f8099987c395,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-e480ca34a8a724a1cbe6,2,do-soak-cell-ea1ee1a289d6d9345296,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,1.0,True,0.0,True,-1.0,False,"[""paired_near_load_quality_failure""]",do-soak-pair-0d88c6f0e682d27555d5,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-bfead3e4ea442cb900f0,3,do-soak-cell-ea1ee1a289d6d9345296,one deterministic low-load/near-load request pair,openai-gpt-oss-120b,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-897c0450ec842f0ef4dd,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-e7c6badf2403e6648237,0,do-soak-cell-1bbd11c0d34c7a447407,one deterministic low-load/near-load request pair,deepseek-v4-flash-0731,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-1de0b7aeef766542dc5b,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-413dd8ed97f2adece977,1,do-soak-cell-1bbd11c0d34c7a447407,one deterministic low-load/near-load request pair,deepseek-v4-flash-0731,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-3578892b97960b2715e2,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-e88049e49f59a641a911,2,do-soak-cell-1bbd11c0d34c7a447407,one deterministic low-load/near-load request pair,deepseek-v4-flash-0731,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-e4f93392bc38f1af57eb,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-6d46a019eb8e93d0a97c,3,do-soak-cell-1bbd11c0d34c7a447407,one deterministic low-load/near-load request pair,deepseek-v4-flash-0731,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-4793c6800ac492723f57,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-dae4b60490f9906494c6,0,do-soak-cell-28f94ac5d4a61bca7fa1,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-6faec4b68ed3fa8eafed,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-69f767a368785189b7ef,1,do-soak-cell-28f94ac5d4a61bca7fa1,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-7b2b592b3f2d484e4663,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-d7acfa7916e4adeeade2,2,do-soak-cell-28f94ac5d4a61bca7fa1,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-046801858b8fe81a9cc7,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-8b85209fc5607f74f179,3,do-soak-cell-28f94ac5d4a61bca7fa1,one deterministic low-load/near-load request pair,minimax-m2.5,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-96e13080863c9b8da459,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-sixhour-completion-20260824-r1-soak-wave-1,direct_soak,complete
do-soak-block-7bdcc7b56cda8aab696e,0,do-soak-cell-96100beb9f1d35ce57b7,one deterministic low-load/near-load request pair,kimi-k3,True,0.0,True,0.0,True,0.0,False,"[""paired_low_load_quality_failure"",""paired_near_load_quality_failure""]",do-soak-pair-cef13f8e1a7ff004bee1,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-direct-soak-20260823-r1,direct_soak,complete
do-soak-block-415121b6f7688a8db2bd,1,do-soak-cell-96100beb9f1d35ce57b7,one deterministic low-load/near-load request pair,kimi-k3,True,0.0,True,1.0,True,1.0,False,"[""paired_low_load_quality_failure""]",do-soak-pair-30f88c5cb7aaa145344b,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-direct-soak-20260823-r1,direct_soak,complete
do-soak-block-79f353da39b45c0ac54a,2,do-soak-cell-96100beb9f1d35ce57b7,one deterministic low-load/near-load request pair,kimi-k3,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-adc1b5273aa0ad004cc5,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-direct-soak-20260823-r1,direct_soak,complete
do-soak-block-5c46fc1aa78350489c95,3,do-soak-cell-96100beb9f1d35ce57b7,one deterministic low-load/near-load request pair,kimi-k3,True,1.0,True,1.0,True,0.0,True,[],do-soak-pair-3f9f991207f50744da67,quality_pair_id,digitalocean_public_soak_quality_pair_summary_v1,short_short,do-direct-soak-20260823-r1,direct_soak,complete
